,aID,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,   ,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content,whole_art,word
1151,62,工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.08.31,全職,苗栗,,,,,,,平常心,常常加班,9 hr,3,6,裕隆汽車本質就是代工...,年輕人不要來，這裡沒...,裕隆汽車本質就是代工。年輕人不要來，這裡沒,"['裕隆', '汽車', '本質', '代工', '年輕人']"
1162,63,設備開發,裕隆集團_裕隆汽車製造股份有限公司,2022.08.17,全職,苗栗,,,,,,,平常心,常常加班,9 hr,3,3,工作環境依不同廠區會...,面試要考英文~需要高...,工作環境依不同廠區會。面試要考英文~需要高,"['工作環境', '廠區', '面試', '英文', '需要', '高']"
1173,64,研發技術軟體工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.08.04,全職,苗栗,,,,,,,還算愉快,常常加班,9 hr,1,2,"醫材研發
機構控制...","工作環境不太優
工...",醫材研發。機構控制。工作環境不太優。工,"['醫材', '研發', '機構', '控制', '工作環境', '優']"
1182,65,工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.21,全職,苗栗,,,,,,,還算愉快,很少加班,8 hr,1,1,工作還算輕鬆，整年大...,與主管間的關係要維持...,工作還算輕鬆，整年大。與主管間的關係要維持,"['工作', '輕鬆', '主管', '關係', '維持']"
1198,66,製程改善工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.19,全職,苗栗,,,,,,,想換工作了,準時上下班,8 hr,1,5,"自己找課題
出事自...","混日子可以
想學東...",自己找課題。出事自。混日子可以。想學東,"['課題', '出事', '混', '日子', '東']"
1207,67,製程工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.07.18,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,5,負責引擎生產的製程改...,"很台商
要很會做報...",負責引擎生產的製程改。很台商。要很會做報,"['負責', '引擎', '生產', '製程', '台商', '報']"
1221,68,品保工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.29,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,10,10,任何跟車輛品質相關異...,近幾年裕隆轉變很大....,任何跟車輛品質相關異。近幾年裕隆轉變很大.,"['跟車', '品質', '相關', '裕隆', '轉變']"
1233,69,生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.22,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,生技分三個部門 動力...,年薪不錯 基本上有1...,生技分三個部門 動力。年薪不錯 基本上有1,"['生技', '部門', '動力', '年薪', '不錯']"
1245,70,生技工程師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.13,全職,苗栗,,,,,,,想換工作了,很少加班,8 hr,1,3,傳產環境 公司整個是...,不太適合年輕人吧 整...,傳產環境 公司整個是。不太適合年輕人吧 整,"['傳產', '環境', '公司', '適合', '年輕人']"
1257,71,管理師,裕隆集團_裕隆汽車製造股份有限公司,2022.05.09,全職,苗栗,,,,,,,還算愉快,很少加班,8 hr,2,4,"辦公室老舊
開放式...","同事很多老人
氣氛...",辦公室老舊。開放式。同事很多老人。氣氛,"['辦公室', '老舊', '開放式', '同事', '老人', '氣氛']"
