,vacancies,company,post_time,job,location,month_salary,year_salary,year-end_salary,bonus,dividends,other,mood,frequency_overtime,average_day,seniority,total_seniority,work_content,advise_content
119,出納專員,裕隆集團_裕隆日產汽車股份有限公司,2022.11.03,全職,臺中,32-33k,380-390k,,,,,想換工作了,賣肝拼經濟,10 hr,1,1,"1. 薪資，面試時說碩士高於32000，因為32000在公司是大學畢業生的價碼，結果拿到薪資單一樣只有32000左右，頂多33000。
2. 加班，薪資沒增加就算了，但上班要提早去打掃和點名，下班工作沒做完要先打卡，做完才能走，如果你直接走，隔天一定會被唸。基本上每天都會延遲下班。
3.不能有問題，要求新人教一次就要融會貫通，問問題一定會被唸，動作比較慢也是。
4.被霸凌，新人一犯錯到最後直接罵，什麼都罵，發現你學比較慢就對你貼上不認真的標籤，從此沒好日子過，基本上每天都會被罵，就算撐到下午，一樣會找事情電你。
5.有問題不聯絡你，打電話直接到家裡，這點我真的傻爆眼，我接起來跟我說要找X先生（我爸的名字），結果是講有關我的事情，我爸直接請他打給我。
6.工作雜到不行，業助的工作也是你的工作。
7.考核會出鳥題目，各種刁鑽狀況，你應付得卡卡一樣被唸，前輩會演奧客來讓你考試。考當日帳款確認也會故意把帳弄亂，讓你在短時間內要把帳抓出來整理清楚，一樣太慢或是找主管討論會被唸。
8.交接根本不是交接，最後一天要歸還東西了，還要你繼續把交接表上列的工作做完才能走，請問這叫什麼交接？都做完了還交接個毛？導致我隔天還要再跑一趟辦程序。
9.主管休假還會打電話到公司電你，沒接到他的一通電話就直接爆氣說為什麼掛他電話？上班根本很少用手機，打line沒接到不知道在氣什麼...","如果你夠奴再來,基本上每天都要加班,沒加班主管還會跟同事私底下抱怨你,請假也會被講壞話,就是一個很表面的公司試好聲好氣,取後各種刁難,職也不會放過你,壓榨到最
後一刻,表根本沒有什麼工作需要交接的。
有問題跟中階主管反應也沒用,絕對挺資深專員,甚至我離職想當面道謝也放我鴿子,說離手
續當天可以直接去位找他,結果他休假,明明前一天還有通電話確認。
總之中部據點絕對不要來!"
120,採購工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.08.12,全職,苗栗,,,,,,,還算愉快,準時上下班,8 hr,6,6,半日商公司，有日文翻...,對車子有熱忱可以加入...
121,財務管理師,裕隆集團_裕隆日產汽車股份有限公司,2022.07.31,全職,臺北,,,,,,,有苦說不出,偶爾加班,10 hr,2,4,一般財務會計相關工作...,考慮發展性跟快速賺錢...
122,機械工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.07.19,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,1,1,工作內容算是假RD，...,裕隆的經營階層，感受...
123,專案管理工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.07.02,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,3,9,1. 工作內容：新車...,1. 國產車市佔率逐...
124,研發工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.05.25,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,1,1,針對台灣市場台灣法規...,"好山好水
適合平淡..."
125,車體設計工程師,裕隆集團_裕隆日產汽車股份有限公司,2022.05.15,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,3,4,1. 新車開發：內外...,公司穩定，且工作步調...
126,管理師,裕隆集團_裕隆日產汽車股份有限公司,2022.01.15,全職,苗栗,,,,,,,想換工作了,常常加班,10 hr,5,8,高聳垂直化組織階級、...,同事間相處環境融洽。...
127,商品企劃,裕隆集團_裕隆日產汽車股份有限公司,2022.01.06,全職,苗栗,48-49k,570-580k,5,2,,,有苦說不出,常常加班,10 hr,6,6,"主要工作內容
市場分析, 消費者分析, 競爭車款分析,獲利分析,銷售預估與年度產品提案等
這個部門的工作氛圍還算不錯, 但整體來說裕隆還算是比較傳統的公司, 要升職主要還是要看年資,當然會參考工作表現
福利條件在中部地區算是不錯的, 如果當年度銷售與獲利狀況不錯的話, 應該可以領得蠻開心的
工作時間, 因為這工作算有一定的專業度, 所以工作時間普遍比較長, 尤其一開始剛接觸的時候需要多花點心力學習, 等上手之後會比較好","對汽車產業有興趣的可以考慮
雖然工作蠻辛苦的,但可以累積汽車相關知識與技能"
128,生產技術工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.10.15,全職,苗栗,,,,,,,還算愉快,很少加班,9 hr,8,10,1）新車生產設備導入...,汽車產業算傳產福利較...
129,製程設備工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.09.30,全職,臺南,,,,,,,想換工作了,很少加班,9 hr,1,1,採取師徒制，一個學長...,如果遇到這樣的學長，...
130,管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.09.14,全職,苗栗,,,,,,,還算愉快,賣肝拼經濟,10 hr,1,5,上班氣氛算是輕鬆，同...,上班需要注意穿著，公...
131,經營管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.09.13,全職,苗栗,,,,,,,有苦說不出,常常加班,10 hr,1,1,主要負責董事會及審委...,英文能力要夠好，因為...
132,機械工程師,裕隆集團_裕隆日產汽車股份有限公司,2021.08.17,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,4,4,工作環境尚可，上下班...,剛出社會求職者需要有...
133,商品企劃管理師,裕隆集團_裕隆日產汽車股份有限公司,2021.06.13,全職,苗栗,,,,,,,平常心,偶爾加班,9 hr,2,2,工作項目:車型商品規...,三義生活會有點無聊，...
